title,imdb_id,author,date,review_rating,review_title,review,likes,dislikes
The Avengers,tt0848228,thefilmexpert,"Apr 29, 2012",1.0,Are movies so bad now that a film like this is considered great?,"Have movies become so bad these days that a merely well-executed totally formulaic film, like ""The Avengers,"" is heralded as an exceptional film?

Sure, this film hits all the marks and has some good one-liners, but once we expected films to be refreshing and new. ""Star Wars,"" while having obvious flaws, provided us a totally new universe with its own unique political conflicts, worlds, and even its own theology (the force). Its first twenty-minutes is mostly watching the story of a robotic English dandy (C3-P0) argue with a chirping rolling trashcan (R2-D2), but amazingly enough Lucas made that unique and crazy idea entertaining. The plot of ""The Avengers"" is just your run-of-the-mill comic book story-line. Compare its plot to that of ""Inception"" or ""The Matrix"" or even ""Back to the Future"" or ""The Good, the Bad, and the Ugly."" Much of what makes those films so great is that their plots are highly innovative. You have no idea where they are going. You always know exactly where ""The Avengers"" is going.

Along these same lines, ""Psycho,"" ""The Empire Strikes Back,"" ""The Matrix,"" etc. provide classic twists--Norman has gone insane and has, in his mind, become his mother, the film's apparent killer; Darth Vader, the film's main villain, is revealed to be Luke's father; the first half of ""The Matrix"" turns out to have transpired in a totally false reality. Nobody expected these twists. What unexpected occurs in ""The Avengers""? Even its minor twists have appeared in other recent films. Its most significant--Loki allowing his own capture--comes straight from ""The Dark Knight.""

Gangster films before ""The Godfather"" were just pulp. ""The Godfather"" transcended the genre just as ""Unforgiven"" did with Westerns. The same is true about ""The Dark Knight."" ""The Avengers"" doesn't transcend; it regurgitates a done-to-death plot. Unlike ""The Avengers,"" ""The Dark Knight"" was more than a comic book film. It was entertaining, compelling, yet it explored complex moral ideas, and its plot went in innovative directions. Did anyone know that ""The Dark Knight"" would end not with a fistfight but instead with a battle between the Joker and Batman for Harvey Dent's soul, a scene that leaves it open to interpretation whether the Joker or Batman really won in the end, a scene far more compelling than any sequence of destruction could ever be? And did anyone NOT know that ""The Avengers"" would end with a huge battle with the Avengers ultimately triumphant? Uncertainty about how a plot will be resolved is what once kept the audience hooked, not the continual spectacle of fights and explosions. In fact, look at the IMDb Top 250. With how many of these films would you know exactly how they'd end if you were seeing them for the first time? In fact, apart from the cartoons, is there a single entry as totally formulaic as ""The Avengers"" is?

And let's not forget, did you ever worry that any of the Avengers would not survive? If not, then where was the real dramatic tension? One of the things that made ""The Dark Knight"" so compelling is that one of its two heroes not only dies but is also believably turned evil before he is killed. And did anyone expect what happened to Rachel Dawes, Harvey Dent's girlfriend? One of the things that made ""Psycho"" so dramatic is its main protagonist dies halfway through the film. Great films--serious or fun--must make the audience feel that there is something truly at stake.

And do I even have to go into how voting to give ""The Avengers"" a 10 places it on par with the all-time great works of film art--""One Flew Over the Cuckoo's Nest,"" ""Schindler's List,"" ""Taxi Driver,"" ""Apocalypse Now,"" ""Citizen Kane"", ""Vertigo,"" ""Crimes and Misdemeanors,"" ""8 1/2,"" ""Manhattan,"" ""Cinema Paradiso"" etc.? A vote of 10 for a film like this diminishes the worth of these works of art that explore the deepest issues concerning the human condition.

Though I've brought up some films that are darker than ""The Avengers"" or more serious, that is not my complaint about ""The Avengers"" at all. ""Star Wars, "" ""The Empire Strikes Back,"" ""Back to the Future,"" ""The Good, the Bad, and the Ugly"" were fun movies, but they also had plots that went in unexpected directions, had surprising twists, introduced us to unique characters. The elements I've listed here are what make a film exceptional and deserving of an incredibly high rating. Just a well-done totally formulaic movie like ""The Avengers"" simply does not deserve the praise it is getting. Of course this film does not deserve a 1 out of 10. I would really give it 3 or maybe 3 1/2 out of 5 stars, which is equivalent to a 6 or 7 out of 10 on the IMDb rating scale. However, until others don't alter their votes to put ""The Avengers"" more in line with where it should be in comparison to other great entertaining films of history, my vote will remain a 1.

Go watch ""The Avengers"" a few more times. Once you've gotten used to the 3-D, the special effects, the digital surround sound, you'll see that the film is predictable, the jokes are so-so, and the violence of the fights and of the long climactic end battle actually gets kind of boring.

If you're a teenager still reading comics or a lover of comic books who's always dreamed of watching Hulk fight Thor, Thor fight Iron Man, then this movie is what you've always been waiting for, but for the rest of us, ""The Avengers"" is not the tour de force it's been made out to be.

Oh wait a sec.

I just learned that there's a movie based on ""Battleship""--you know, that dull board game for eight-year-olds. I guess movies really are that bad. If you compare ""The Avengers"" only to garbage like that, I guess it really does seem great.

Never mind...",1.2K,899
The Avengers,tt0848228,facebook-124-955845,"Apr 19, 2012",10.0,The Avengers assembled flawlessly,"I'm sorry to say The Avengers isn't a good movie; it's a GREAT MOVIE!!!! It's not only the best team superhero movie ever made, but it may just be the best comic book adaption made period! The Avengers is the culmination of what began in Iron Man; and continued through The Incredible Hulk, Iron Man 2, Thor and Captain America. It was only a few years ago that my son and I had just finished watching Iron Man and as the credits were ending, Samuel L. Jackson appeared on screen as Nick Fury and spoke to Tony Stark about joining Avengers Initiativein that short scene, the framework for potentially the greatest comic book movie of all-time had begun! Director Joss Whedon, most known for the T.V. series Buffy The Vampire Slayer, takes the foundation that was built in the prior films and brings together the greatest team of superheroes in film history, The Avengers: Iron Man/Tony Stark (Robert Downey Jr.), Captain America/Steve Rogers (Chris Evans), Thor (Chris Hemsworth), Hulk/Bruce Banner (Mark Ruffalo), Black Widow (Scarlett Johansson), and Hawkeye (Jeremy Renner) as ""assembled"" by Nick Fury. Whedon's scripts usually include clever banter, gripping action sequences and an air of mystery and The Avengers is no different. Whedon has an utter love for comic books, and it is proudly put on display in The Avengers. The cast does a great job of bringing these iconic characters to life, beginning with Robert Downey Jr. Unlike Iron Man 2, in which Downey seemed to skate through scene after scene, Downey plays Stark almost effortlessly, delivering his lines with relative ease allowing his charisma, charm and smugness to shine through; Robert Downey Jr. IS Tony Stark! Chris Evans' solidifies himself in the role of Captain America. He was very good in his solo film, but truly owns the role standing alongside Iron Man and Thor. Chris Hemsworth's Asgardian god Thor has some incredible battle scenes and indirectly provides one of the film's most funny moments. After being seriously underutilized in Iron Man 2, Scarlett Johansson's Black Widow is provided a back-story, which helps in developing the character and provides an opportunity to prove she is much more than just a pretty face; she's as dangerous psychologically as she is physically. I could envision myself enjoying a beat-down at the hands (and feet) of Black Widow. The character I was most concerned about being given little story and the least amount of screen time was Jeremy Renner's Hawkeye; happily, he's not left by the wayside and does a more than admirable job of developing the character. Hawkeye stands alongside Robin Hood and Katniss Everdene (The Hunger Games) as the best archers to grace the silver screen. I'd like to see more of him in a film of his own. Mark Ruffalo, the most recent choice to play Hulk, is far better suited to the role than Eric Bana (The Hulk) and Ed Norton Jr (The Incredible Hulk). Ruffalo looks more the part of the nerdy scientist Banner and plays the part without looking angry in every scene. In The Avengers, the Hulk is at his most impressive, both in his on-screen transformation and the violence he displays when the opportunity calls for him to ""hulk out"". If any character appeared to stand out a little bit more than the others, for me it was the Hulk. Samuel L. Jackson's Nick Fury is finally more than just the guy making surprise appearances. Fury is finally able to stretch his legs some, and Jackson slides quite easily into the role. Clark Gregg's Agent Caulson returns, and Cobie Smulders makes her Marvel films debut as Agent Maria Hill, and she is a welcome addition. The film's main villain is Thor's adopted-brother Loki, played by Tom Hiddleston. You would think the part would be a difficult one to play being opposite such powerful personalities and strong characters, but Hiddleston does a fantastic job; the performance should not go unnoticed, because it's one of the strong points of the film. Loki is not a villain without purpose and Hiddleston comes across as a devious mastermind without being cartoonish. At a running-time of 2+ hours, The Avengers is well paced and time flies by. The effects are top-notch, the acting is very good, and the script drives the movie elevating its strengths. For viewers that may not have seen any of the other films (and if so, why not!?!?), we're provided just enough information to bring everyone up to speed without feeling overdone. Whedon provides more than just a standard comic book film, but a story with reason that's backed up with incredible action and humor. Although the film is filled with larger than life characters, none are short changed; each character is given at least one great scene to work with, and the opportunities don't go to waste. The film's finale provides a deafening crescendo of action that is breathtaking. As usual with Marvel films, be sure to stay around for the post credit sequence, which provides a surprising reveal. I went into The Avengers with unfairly high expectations, due to all of those that were involved, as well as the films that came before it. After viewing the initial trailers and not being blown away, I had set myself up for disappointment. It was only a matter of minutes after the film started that I was put at ease, and just minutes later when my expectations were blown away. I never imagined that it was possible to put onto the screen, what I was watching. I'm happy that Marvel had the sense to keep these properties to themselves and to move forward with these characters in the manner in which they did. Marvel Studios and Disney are going to make a boatload of money off this film, and deservedly so; because there's never been another movie made of its caliber. Grade: A+",837,584
The Avengers,tt0848228,krieg8814254,"Apr 11, 2012",,An Unstoppable Force of Awesomeness! All Hail The New King!,"I have got to tell anyone who will listen that this is one of THE best adventure movies I've ever seen. It's almost impossible to convey how pumped I am now that I've seen it. I purposefully avoid hyping myself for movies because when expectations are too high, nothing seems to be able to reach them. I usually avoid the hype train whenever possible. That said, I was jacked to see this movie and was fully aboard the hype train. It couldn't be helped. So, I was certainly open to intense disappointment had this movie not been good. I'm so happy to report just the opposite has happened.

The only word I can think of to describe this movie is AWESOME. It's amazing work and everything I had hoped for and more. It's exceptional entertainment for the uninitiated but it has everything a fanboy could want to be sure. It has every little nuance of what a fanboy wants to see. One of the MANY things I loved was the tension and flat out conflict that arises between team members. It's not a two dimensional ""team wonderful that bands together to fight crime ho ho ho."" Most don't like each other at fist and there is so much texture to be played. That is great because so many of these characters are larger than life. They have egos and the big guns aren't used to working with other people or even playing by the rules. Stark, Thor and Banner all work ""the other side of the fence"" so to speak. Then there's the Widow, Hawkeye and Captain America who are used to following orders and playing within a command structure. They are all thrown together in a wonderful and, best of all, believable fashion. Again, more than I ever dreamed possible.

The entire cast really delivered. You needed more than just action actors or stunt doubles to play all these parts. The pathos is there but so are the timing and true deep performances. Look, I was missing Ed Norton as much as anyone on that hype train I talked about but I'm so happy to say that Mark Ruffalo won me over. I hope he's locked up for the long haul because we don't need any more changes. Three was the lucky number for movie Banners. Every other actor in Avnegers that we've seen before is BETTER than their previous incarnation (EVERY single one) with the possible exception of RDJ as Stark. He's great but it's hard to top his take on the character from the original Iron Man in an ensemble movie. I also have to fully disclose that I'm insanely attracted to Scarlett Johansson. I thought her Widow character was amazing but I'm definitely judging that through rose colored glasses. The character arcs that run there course during this film will surprise a lot of general audiences expecting nothing more than a Transformers type popcorn scarfdown.

I honestly don't want to give away ANY of the movie with this review because this is one film that needs every scene to be savored. Do yourself a favor and remain unspoiled. It's how I saw the movie (apart from what the trailers showed) and even though you're obviously reading this review, read no others with any kind of spoilers whatsoever. Experience the awesomeness for yourself. Avengers as a movie and as a team on screen is an unstoppable force. I'm just going to say, Hulk & Thor combination equals AWESOME and leave it at that. This movie defines MUST SEE.",859,515
The Avengers,tt0848228,pro-wows,"May 10, 2012",1.0,"8.8 Is most likely ""Cheated""","There is no way this is legit 8.8. The movie is comparable to Transformers 3.(Rated a 6).

Look I loved the following recent action hero movies. Spiderman (1-3), Dark Knight, Super 8, Iron Man(1-2), Transformers(1-2)

I really don't dislike that many movies. I'm not being cynical. This movie really is just a cluster ..... There's no emotion to the whole thing. Its dull and flat. It also feels very ""PG""

Its the definition of cliché when it comes to super hero movies. There's no bar being raised, there is nothing new being done. The entire script is just a bunch of predictable non sense jargon with no meaning. There's no event in the movie where i go wow, that is original. Or go wow this movie gives me emotion and it really immerses me in the experience(Watch the beginning of star trek).

My only thoughts is that Walt Disney Pictures did black hat tactics to hype this movie through social networks. I cannot and will not believe people think this movie is worth an 8.8.

I really did want to walk out of the theater. This movie is forgettable and I was very disappointed and let down. This movie really just feels like another ""average"" super hero movie. But the expectation of it being good just makes it worse.",633,685
The Avengers,tt0848228,biochemist,"Apr 15, 2012",9.0,LA Review of 'The Avengers' (No spoilers),"LA Review of 'The Avengers' (No spoilers)

I was lucky enough to attend the Marvel screening of 'The Avengers' on Saturday morning in Century City, CA. This was an unusual screening as movies of this caliber are not screened some three weeks before it's release date. Just minutes before the movie started, we were all surprised when writer/director Joss Whedon walked in with Kevin Feige to introduced their little ""Justice League"" movie. Not only did we all laugh, but some booed. lol. If that wasn't enough of a surprise, the soft spoken Whedon introduced on stage Chris Hemsworth (Thor), Tom Hiddleston (Loki), Clark Gregg (Agent Coulson) and Cobie Smulders (Agent Maria Hill). Wow is she stunning in person! The audience gave them all a standing ovation with deafening cheers! (This explained why the secret service like security were searching, wanding everyone. No cameras, cell phones, nothing was allowed in.) What a nice surprise for an early Saturday morning screening.

I've never read comic books. This is a comic book movie. It was made for hardcore fans of comics, and I appreciate the care Joss Whedon gives to this movie. It was very entertaining to see Tony Stark (Iron Man), Thor, Dr. Bruce Banner (Hulk), Steve Rogers (Captain America), Natasha Romanoff (Black Widow), Clint Barton (Hawkeye), Agent Maria Hill, Agent Phil Coulson and Director Nick Fury all interact with one another.

Capt. Steve Rogers was fighting in WWII just yesterday. Having been recently awoken from his frozen sleep, he struggles to fit in our modern world with all this technology around us. The God of Thunder, Thor, is not from this world (realm) and doesn't understand modern technology on Earth as well. Dr. Bruce Banner has been on the run from the government, practicing medicine in third world countries. He hasn't been the Hulk in two years (What's his secret? ;). Tony Stark is still the same, playing with this high tech toys and inventing new technology. So how do you get them all to interact and play well together? Well, Director Joss Whedon is the secret to making it all work.

The highlight of the film for me is how Joss Whedon has all these characters interact. Deep character development was not needed for this film. (That is what the respective movies are for: Thor, Iron Man, The Incredible Hulk, Captain America: The First Avenger) He does a great job of not forcing dialogue, and the interaction of the characters is much more organic than I would have ever anticipated. That is where Whedon deserves the most credit. He took what appears to be a very silly premise, with silly looking characters and made it completely work. Seeing as the Avengers comics date back to the 1960s, you can tell he not only did his homework, but he really cares deeply for the material, and his passion definitely shows on- screen.

The movie is vastly entertaining. The Action scenes are amazing and satisfying. Nobody is short changed when it comes to the fighting or action sequences. I felt as if there was not a single bad performance. A couple of dialogue lines seemed off, but once you remember who the character is, and why they talk the way they do (think of where they come from), it all makes sense. Each respective character is true and honest to itself. Each of the characters brought their personality (from their respective movie) to the table. It is by far the best Marvel movie to date.

So who was my personal favorite character from the movie? Dr. Bruce Banner (played by Mark Ruffalo) of course! He is by far the BEST Bruce Banner/Hulk since Bill Bixby. His intelligence (genius) is unparalleled (greater than Tony Stark's) and his compassion for human lives is what drives the good side of his character. As a kid growing up, he was my favorite Marvel super hero. I enjoyed watching Bill Bixby play medical doctor/physicist Dr. David Banner on television. I'd watch, terrified with my hands up to my face, as he transformed into the raging green hulk. Yet i was so fascinated with him being a scientist, helping those in need. When Mark Ruffalo was first announced to play Bruce Banner, i didn't know what to think of it. I knew that he's a good actor. All he needs is the right director to get the needed on-screen character out of him. I really hope they make an Incredible Hulk movie sequel starring Mark Ruffalo as Dr. Bruce Banner. Or at least, i vote for him to reprise his role in any sequel. He was a natural fit for this role.

Overall, the best thing about these characters is that they are not silly twenty-something terrible actors who were chosen for on-screen eye candy. They all do a fine job of bringing these characters to life and their chemistry together works great. Assembled, they are unstoppable. When i heard an Avengers movie was rumored to be in the works, i was ecstatic. The day has finally come. Go see it. Thrice. 10/10 Stars.",634,423
The Avengers,tt0848228,emily-k-mccole,"Apr 14, 2012",10.0,A Comic Book Triumph!,"I was lucky enough to be included in the group to see the advanced screening in Melbourne on the 15th of April, 2012. And, firstly, I need to say a big thank-you to Disney and Marvel Studios.

Now, the film... how can I even begin to explain how I feel about this film? It is, as the title of this review says a 'comic book triumph'. I went into the film with very, very high expectations and I was not disappointed.

Seeing Joss Whedon's direction and envisioning of the film come to life on the big screen is perfect. The script is amazingly detailed and laced with sharp wit a humor. The special effects are literally mind-blowing and the action scenes are both hard-hitting and beautifully choreographed.

While all of these things (script, action, special effects and so on and so forth) are important... it's no good having them spot on if you don't have a cast that just isn't right. But fortunately, for fans and for the actors involved, Whedon's cast not only work brilliantly together but are perfectly comfortable wailing on each other and threatening each other all day and night.

The actors' performances in ""Marvel's The Avengers"" are simply captivating and there are many instances where we get a glimpse further into their characters pasts and innermost feelings. Robert Downey Jr. will have you in stitches. Scarlett Johansson will have you staring in disbelief as she winds her way through sticky situations. And Tom Hiddleston will have you simply shaking in your seat with fear.

All in all, Marvel's The Avengers is a visual delight and I cannot wait to see it again, and again, and again. Marvel fans will not be disappointed, and something tells me that most of you will agree with me wholeheartedly.

The Avengers, assembled and awe-inspiring. Ten out of ten.",582,415
The Avengers,tt0848228,maddog-50,"May 10, 2012",1.0,meanwhile,"film studios just found out that a lot of moviegoers rely on ""reviews"" like internet buyers rely on customer reviews.

It is known, that many big internet shops hire review-agencies those only job it is to fake authentic looking customer reviews because a lot of buyers trust the reviews of other customers more than any magazine reviews.

That's what is happening here. 80% of the reviews here are written by professional review-agencies which got paid by the studios. If you look closer and compare the text of those ""best movie ever"" reviews (or variations of that, such as ""i did not expect much, i am not a superhero fan, but this was greatest beyond belief"" ) with reviews written at other moviegoer platforms, you will find a lot of equal phrases and text blocks.

I guess that IMDb is aware of that cheating and they support it.

This movie is another superhero movie with the very same formula. Superheros need super problems to solve, so that they can shine. Each hero has to face the kind of super problem which is appropriate to his/her individual super powers. They only can defeat the evil threat when they work as a team. But suddenly some social problems between them jeopardize the whole mission to save the humanity from that super tread, as you can guess, and only towards the end they find together again and etc., etc.. A story for retarded eight-year-old's, flavored with as much CGI as you little brain can swallow in the time.

A stupid movie with a stupid story, stupid characters with stupid attitudes, stupid CGI and a stupid ending. If super stupid means blockbuster, then here you go.",471,511
The Avengers,tt0848228,DAZINPARIS,"May 10, 2012",1.0,A consummate failure - here's why,"Here's why ""The Avengers"" fails so badly.

1. Wrong, wrong director - Joss Whedon is a TV Director. ""Serenity"" worked because it was essentially a TV movie. And he has here made ""The Avengers"" a TV movie. Bad move, this should have gone to J.J. Abrams, Bryan Singer or Brad Bird.

2. Dreadful miscasting - only Robert Downey Junior can hold his head high. Chris Evans is as wooden in this as the flat ""Captain America"" film. Those playing Thor, Hulk, Black Widow either phone in performances or look embarrassed.

3. Weak, weak villain - Tom Hiddleston plays a slight, camp character who offers little panache or interest and more closely resembles a spoiled teenager than anything else. This film needed a ""General Zod"".

4. Too much obvious CGI - come on, it's 2012, there's no excuse for the George Lucas-y effects like the flying Shield craft graphics.

5. No drama, tension and a script so obviously flat that Whedon inserts misplaced self conscious quips to lighten the tone.

For anyone growing up with Marvel comics in the 70's (chime with me on this), we deserved SO much more. For younger audiences, it will pass I'm sure.

Really can't understand though the positive reviews. Am I alone in this ?",378,420
The Avengers,tt0848228,dreamerboi23,"Apr 13, 2012",9.0,Nothing Short of Amazing,"I just saw the early screening for San Diego through the top 10 cities on facebook who got them. And suffice to say I am glad I was privileged enough to.

First off, this hands down is the best Marvel movie ever. I don't say that lightly. And in terms of superhero movie with maybe the Nolan Batman series being tied with this, I thought Whedon did an amazing job to bring out all these characters in this one movie. I especially like what was done with Hawkeye and Black Widow just because those two didn't really have their individual movie with their back story.

You can tell when a comic book fan writes and directs a comic movie because it clearly showed in all areas of production for this film. Going into the film I honestly thought that a lot of the cool mutant action scenes would be strictly Iron Man and Captain America. But Whedon does such a great job giving each mutant their 15 mins of fame and by the end of it you seriously feel like ""Wow this guy/chick is a badass"" for every mutant. I will admit i am not a Hulk fan. I like the inner story for it but was never a fan of the films, show or comic. But Hulk's role in the movie is so awesome I became a fan just from it.

If any of you are Whedon fans then you guys/girls will love this movie. It has his M.O. written all over the humor and story presentation. And there were definitely parts in the movie where I thought ""Wow this seems like Firefly and Serenity"". And story aside, if you read, watched, or idolized Marvel superheros as a kid, the action alone will make you cheer just out of sheer nostalgia of imagining The Avengers or X-Men all together on the screen kicking ass.

In summation, I don't need to say you NEED to watch this movie because I think anybody who is anybody already knows they want to see this. All this review has done was just reaffirm the hype behind this movie. I don't say this much but job well done Marvel and Disney for hiring a writer/director who has the audaciousness to keep it honest and true for those most dedicated comic fans who are the backbone of Marvel comics being a success. And in this day and age of superhero movies and movies in general that is very hard to do. Cheers Joss Whedon!",403,324
The Avengers,tt0848228,NORTHPOINTMJM,"Apr 18, 2012",,They balanced everything masterfully. As Good As It Gets!!!,"If you're a fan of epic adventure movies, then this is your dream come true. This is the type of film you fantasized about growing up! It really is the ultimate superhero mash-up and it's done perfectly. The makers of this film certainly understand spectacle but they also get the intricacies and depth these type of characters can provide. That right there assures this instant classic will be thought of as the best as well as the biggest film of 2012. The depth of this movie really did surprise me. Even though the high quality of the actors involved and there previous work as these very same characters seemed to indicate otherwise, I was expecting a wild popcorn movie. I was wrong in thinking it was too much to convey in one film. I couldn't be more pleased because they balanced everything masterfully. Sure, there's the popcorn fun we were all expecting but there's also a definite soul to the film and a smart plot as well. It's truly a stupendous movie regardless of genre.

Marvel did it, they pulled off the culmination of a master plan that's been taking shape for years. They deliver a movie the likes of which we've never seen before and as good of a film that's ever been made in its genre.

There's a reason this grand of a movie has never been attempted before now. How do you fully flesh out, care about and establish this vast group and still deliver a fun, crisp and coherent story? It's extremely difficult to navigate that edge-of-your-seat excitement while at the same time caring about each one of the characters and their struggles. One of the most impressive aspects of The Avengers is that they managed to get each hero their time in the spotlight and their own character arc. Every single main lead steps up and is treated with remarkable intelligence and given room to shine.

I loved that the stakes in this film are ridiculously high and the threat so impressive that there really is a need for these diverse characters to come together. That could have been a stumbling block in terms of story but it's treated just right. It's also a great idea that they chose to introduce all the characters to the audience as if you've never seen them before. Sure, the other films set up and give depth to each character but even if you missed their solo films, you'll still know and care about them in this movie.

It's also wonderful that everything is as big as it should be. This truly is the comic book epic of our lifetime (the fanboy version of Gone With The Wind circa 1939 if you will) and it all shows up on screen. Everything looks GREAT and feels epic. The equipment (love that Helicarrier), the relationships, the stars, the characters themselves and the battles are all huge and as fully mesmerizing as they should be. There are scenes that are emotional and there are scenes that are going to make any audience member scream ""BADASS!"" and mean it.

I'm serious when I say that the big, explosive moments are as grand as they should be but it's the smaller character moments in this film that really take it to another level. At this point, we've all seen how good some CG action can get but grounding it with a great story and with meaningful quieter moments is what makes a movie good. That's the ace up the Avengers sleeve. This is NOT some CGI video game movie. Cut out the action and I'd still want to see this movie. So, it's safe to say that they are replicating the comic book experience on the big screen. Years of depth coupled with spectacle and advanced fiction is a treat for non-comic book and comic book fans alike. That's is The Avengers greatest power... the ability to entertain all comers!",416,256
