id,title,phase,release_date,imdb_id,imdb_average_rating,imdb_vote_count,backdrop_path,poster_path,popularity,vote_average,vote_count,overview
85271,WandaVision,4,2021-01-15,tt9140560,7.9,412492,/lOr9NKxh4vMweufMOUDJjJhCRHW.jpg,/glKDfE6btIRcVB5zrjspRIs4r52.jpg,15.1597,8.2,12570,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.
88396,The Falcon and The Winter Soldier,4,2021-03-19,tt9208876,7.1,278212,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,/6kbAMLteGO8yyewYau6bJ683sw7.jpg,10.3338,7.605,8808,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience."
84958,Loki | Season 1,4,2021-06-09,tt9140554,8.6,190256,/N1hWzVPpZ8lIQvQskgdQogxdsc.jpg,/kEl2t3OhXc3Zb9FBh1AuYzRTgZp.jpg,25.2037,8.2,12249,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat."
91363,What If...? | Season 1,4,2021-08-11,tt10168312,7.7,160994,/jnzoh5qoxRLFRIQAxnl6D3RStPC.jpg,/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,25.1665,8.1,4561,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments."
88329,Hawkeye,4,2021-11-24,tt10160804,7.4,241039,/e3tA49HkybsO90hpL1AZTHR5ZU.jpg,/ct5pNE5dDHryHLDnxyZPYcqO1sz.jpg,17.5846,7.8,3649,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit."
92749,Moon Knight,4,2022-03-30,tt10234724,7.3,307809,/1uegR4uAxRxiMyX4nQnpzbXhrTw.jpg,/vKDUmKO6F9bSKKyHhg7YGbgcEeF.jpg,17.181,7.65,3388,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt."
92782,Ms. Marvel,4,2022-06-08,tt10857164,6.2,130493,/mfcLUWASJghU8MTNK38eYktfE83.jpg,/3HWWh92kZbD7odwJX7nKmXNZsYo.jpg,7.3031,6.293,1410,"A great student, avid gamer, and voracious fan-fic scribe, Kamala Khan has a special affinity for superheroes, particularly Captain Marvel. However, she struggles to fit in at home and at school — that is, until she gets superpowers like the heroes she’s always looked up to. Life is easier with superpowers, right?"
232125,I am Groot | Season 1,4,2022-08-10,tt13623148,7.0,19900,/bAnHzJ6AMhOhnV3C0kTxkpCqpgM.jpg,/lYwFSsP4KsoRhOLhJvBFp3GEGEm.jpg,6.8392,7.064,458,"There's no guarding the galaxy from this mischievous toddler! Get ready as Baby Groot takes center stage in his very own collection of shorts, exploring his glory days growing up and getting into trouble among the stars."
92783,She-Hulk: Attorney at Law,4,2022-08-18,tt10857160,5.2,207436,/eljErfkQUcFUgQkI4I1soZcH8MW.jpg,/hJfI6AGrmr4uSHRccfJuSsapvOb.jpg,11.1447,6.1,2452,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk."
894205,Werewolf By Night,4,2022-10-07,tt15318872,7.1,78865,/pfAZP7JvTTxqgq7n6A1OYgkAdEW.jpg,/mvIvNKRIJPPS7WSFarFhOAGIVnU.jpg,4.7253,6.971,1483,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster."
