title,imdb_id,author,date,review_rating,review_title,review,likes,dislikes
WandaVision,tt9140560,evansjoshyr,"Jan 28, 2021",10,Ignore every negative review before episode 4,"It might have been an error on Disney's part to release only the first 2 episodes at once instead of 4 episodes. While I am on of the few people who absolutely loved the intrigue and mystery of the first three episodes, this exceptional show has been getting a lot of hate due to a lack of plot.

... And then the 4th episode came out. Not only was it an exceptional episode, but it justified the use of the first three and even gave some answers to the many questions of Wanda vision.

Overall a brilliant show that shouldn't be judged on the first three episodes (especially if your only complaint is a lack of plot)",1.6K,427
WandaVision,tt9140560,Xamalion,"Jan 14, 2021",10,Credits way too long,After two episodes I'm hooked and excited how things will unfold. But 7 minutes of credits is a bad joke. This time should better be used for more content of the show.,623,423
WandaVision,tt9140560,antiqueroman-22732,"Jan 14, 2021",8,So many questions...you people need to pay more attention,"Not a show for those who half-watch while doing other stuff. If you pay close attention, it has a lighthearted, cheesy veneer, but it's actually quite tense. Something is obviously wrong--from the random splashes of colour, the ironman-coloured toy helicopter, the way Vision's boss seemed to magically suddenly decide to leave and promote Vision, the Hydra symbol on a watch, the fact that neither Vision nor Wanda seem to have the faintest notion how they got there, and, of course, the voice asking ""who did this to you, Wanda?"" I am quite sure this show is going to take a very dark turn if you nay-sayers can just hang it there.",682,338
WandaVision,tt9140560,joelescott,"Jan 14, 2021",1,Boring,Marvel is becoming very overrated. this is horrendous,354,608
WandaVision,tt9140560,urichlucas4,"Jan 14, 2021",1,Incredibly Boring,What a waste $25 Million Dollars A episode don't know where that money went. It was such a disappointment I honestly don't know what the hell the producer's were thinking the story is basically non existent and has nothing to do with the Marvel Cinematic Universe other than Having The Scarlett Whitch and Vision in name only. Wish I could give this 0 stars.,331,587
WandaVision,tt9140560,naomimuldrew27,"Feb 3, 2021",10,Gets better with every episode,Writing this with bated breath waiting on episode 5. The whole premise of the show is just totally different and it works! So happy Randall Park is in it too. Its so smart and I'm so excited to see the rest.,519,203
WandaVision,tt9140560,streamforjoy,"Jan 14, 2021",4,Slow and annoying,"Ok I get it...Alternate universe...Or Wanda is under some influence like sedation.

Fine, but why have entire episodes set in this world. As a cliqued 'I dream of Genie' like sitcom no less.

It'll be interesting how they explain the need for this plot device.

I'm all for trying new ideas in television, but why only go so far.

They could have set the alternate world in say 80s Sokovia. A world not familiar to anyone.

Not impressed so far.",279,355
WandaVision,tt9140560,safira-1,"Jan 14, 2021",1,Dreadful,Screechy and obnoxious. Not creepy. Not funny. Atrocious garbage.,231,384
WandaVision,tt9140560,davidrliston,"Jan 15, 2021",7,Wtf is this?!,"Way to have me completely question your plans with Star Wars, Disnay! Of ALL the stories you could have greenlit, why would you feel motivated to tell this? I couldn't make it through the first episode. I kept waiting for there to be a breaking of the fourth wall or some way this was at all relevant to the MCU. If I wanted to watch Bewitched, I would!",210,376
WandaVision,tt9140560,cloliver864,"Jan 15, 2021",9,Don't give up on it,"I almost quit watching about halfway through the first episode. It seemed kind of silly and over the top. However, this all changes when the show starts to take on dark and perhaps sinister undertones. I think this series will be a mystery that slowly starts to unravel with each episode.",326,224
WandaVision,tt9140560,pegasus-67050,"Jan 14, 2021",1,The trailer was cool but the first couple of episodes are not my cup of tea.,No thanks. I'll wait until the rest of the episodes have released because the trailer *did* look interesting.,202,340
WandaVision,tt9140560,jamesclarke-75086,"Jan 14, 2021",1,Not entertaining,Not funny few easter eggs bht other than that needs other films and spoliers to amke it intresting feels like a tv show to slowly realse spoilers for other films,193,317
WandaVision,tt9140560,mikekemp60-115-548149,"Jan 14, 2021",7,First 3 Eps Seem Pointless - They're Not 😊,I gave this one star and an absolutely stinking review after watching the first two episodes. I just watched episode four and came back to revise my review. Well worth sticking with it.,216,288
WandaVision,tt9140560,dantvman27,"Mar 5, 2021",5,"Slow start, decent middle, flat finish, good acting","The first few episodes were quirky but uninteresting, the middle set of episodes were an improvement as it was clear something else was going on here and Marvel might take a risk for once, and then they went right back to the formula and ruined all the moving out of the comfort zone and interesting character potential

But Olsen and Bettany are fantastic",343,154
WandaVision,tt9140560,georgefligos,"Jan 14, 2021",8,This one probably should have been releashed as a season.,"I was really excited by this title and I still am, ALTHOUGH I just watched two episodes of the show and I'm a bit at a loss. I'm not scratching my head as to what happened, I like being puzzled, but I am not yet sure if the first two episodes really add up to anything and I am afraid of how that is going to translate to the series as a whole. Don't get me wrong, I adore the concept, but I feel that I watched a standalone story with only a fraction of what might be the actual story. I got really excited at first only to feel a bit bored later. It needed more excitement, thrills and/or mystery. Or such a slow and (pardon me for saying this) monotonous beginning should have been releashed as a whole, in order to offer the whole colourful and multilayered experience we have all been waiting for (and I bet we will get by the end). For the reasons I explained, I believe it didn't leave a nice taste to a good amount of people. This is definitely not the next ""Mandalorian"" for Disney+, but I am glad they are taking risks and pushing the boundaries that we came to expect for a superhero medium. I hope the show finds its footing soon so it won't just feel like a special. High hopes, still. *EDIT* Just watched the third episode. And I, still, stand by my words. We're getting there, but slowly. I insist that it would be a more pleasant experience as a binge, because I still feel I watched nothing essential. *EDIT* EPISODE 4 WAS GREAT!",261,233
WandaVision,tt9140560,whope-49436,"Jan 14, 2021",8,Do people not realize it's supposed to be like old sitcom tropes,I really enjoyed it I see alot of bad reviews talking about how bad it was and how much it was like I love lucy and bewitched and had laugh track(that did get annoying at times) but that's the point.,242,232
WandaVision,tt9140560,nsantalu,"Jan 14, 2021",8,"Starts off really rough, gets very good in ep 4","Watching eps 1-3 I had thought the show would start like this each episode as a delusion in Wanda's mind and then back to the real world live and in color. But no, Disney/Marvel went all in on the 50s-70s TV style and the results are lots of mixed and and negative reviews.

One could say that the first 3 episodes each pay homage to a different era in classic TV or perhaps they each just make fun of them. In either case come episode 4 it all starts to get really good and you start to understand why they did what they did and how they did it.

After Episode my rating of the show was a 2/10. That said i still hung in there hoping i was missing something and that if I could hang in there it could get good or maybe just maybe even great. Well I'm very pleased to say I was wrong about my initial review and score and after episode 4 have adjusted both accordingly.

I do believe Disney+ would have been much better off releasing the first four episodes all at once to avoid losing viewers that where as confused and frustrated as I was.

My new score of 8/10 would probably be a 10 if the episodes where longer and if there were going to be more than just 9 in total. With each episode only having about 18m of content and 12min of credits and ""previously on"" that means WandaVision in whole will only be about 2.7 hours long. That means it is basically a feature length movie split over 9 episodes for the sake of having it be a ""mini-series"" or ""TV show""

At any rate unless the show takes another turn after episode four I think we are in for a good ride overall. Try your best not to tune out during ep 1-3 and YES you do need to watch them ep 4 will be meaningless to you without having seen them.",205,255
WandaVision,tt9140560,pissbaby_,"Jan 14, 2021",8,"A Delightful Superhero Soap, unlike anything in MCU","Part loving whimsical homage to Classic TV history, part off tantalizing kilter mystery, WandaVision is a wonderfully weird and strikingly bold step into the small screen for the MCU - and a perfect showcase for Elizabeth Olsen and Paul Bettany. Marvel goes off on a bizarre and audacious twists and a world away from the usual explosions and super-punching yet confidently delivered tangent, bringing back familiar characters in a fresh and imaginative way. Elizabeth Olsen and Paul Bettany deliver the comedic goodies, as the series drops delightful comic book Easter eggs and it's mystery unfolds towards the phase 4 in MCU. Watching the first two episodes proved that the show is definitely expertly produced and spectacularly written with some beautifully performed twists on TV history, and Olsen and Bettany commit hard to the cheesy comedy. Wandavision is an extraordinarily different aspect to superhero genre.",200,212
WandaVision,tt9140560,louiewv7336,"Jan 14, 2021",1,Horrible... green lantern horrible,Horrible... it is just dumb. Cannot believe this is a marvel production. The first episode just does not end,159,244
WandaVision,tt9140560,durfeeethan,"Jan 14, 2021",1,So incredibly disappointing,"I have never written a review before but all of these positive reviews have forced my hand. The first 2 episodes were dull, forced, boring, and unoriginal. This show would bomb and fail and fail and bomb if it didn't have MCU backing. I don't understand the 8.5/10 rating overall. It was supposed to be a comedy I'm assuming but I didn't even crack a smile.",148,233
WandaVision,tt9140560,misc-161,"Feb 14, 2021",10,Are you kidding me?,What is with the negative reviews? This show was beautiful and funny from the very first minute. I am looking forward to how they will evolve.,219,159
WandaVision,tt9140560,tacovdkooi,"Jan 14, 2021",1,holy hell what a s***show,Anyone who rates this is paid by disney bigtime could'nt bare to watch this even in fast forward,146,230
WandaVision,tt9140560,hugomatraquilho,"Jan 14, 2021",10,Review bombs are the unfortunate result of the popularity of this franchise,"With the mainstream appeal of a franchise like Marvel, you unfortunately get a mass of spectators who became marvel arm chair experts without knowing any of the source material or the overarching plots that are being laid before us. Which is why you are seeing posts absurdly review bombing this show with an undeserved sense of authority and indignation. Wandavision is a treat for any long time fan of Marvel (especially of Scarlet Witch and Vision). Those of us who have waited to see many of the aspects alluded to in the show are completely ecstatic in noticing every little hint cleverly woven into the plot. Those who've read comics like Tom King's take on Vision or House of M will certainly feel familiar elements. It's a greatly produced homage to sitcom history, with meticulously crafted sets that are authentically appropriate. And at the same time, it's also has a sort of psychological horror and mystery to it, which contrasts nicely in an idyllic yet unsettling setting. The best part about this show, is that a lot of it is happening between the lines. It's highly replayable and the weekly format is great because it keeps all the speculation and guesswork going. Every frame is filled to the brim with hints and clues as to what the ""mystery"" really is, what entities are really at play and what their motivations are. It's a really bold, creative swing for a generally safe and formulaic Marvel. And in my opinion, it's a completely successful one so far.",179,184
WandaVision,tt9140560,ThomDerd,"Feb 5, 2021",8,Wandavision is kewl.,"Show is developing nicely and although the build up is slow, by episode 5 the story progresses more and gets interesting. World building seems good, characters are solid and there's an eerie vibe in every episode which makes it intriguing.

Also, this show is somewhat different; many double meanings and implications. Feel free to interpret. Wandavision is already a pun.

On another note, I am happy to see many actors from various MCU films appearing. Also, the core cast of this show is pretty good (see Kathryn Hahn) and OlsenBettany are given a nice chance to show some more acting skills and deliver comedy on top of the drama and action that we are used to.

So, its an 8/10 for now, looks like a novel show. Give it a go.",267,92
WandaVision,tt9140560,jaiswalaryan-00309,"Jan 14, 2021",1,Overrated and Overhyped by Fanboys,"What you hated about Friends and The Big Bang Theory ( Laugh tracks on lame jokes forcing you to laugh), Snyder cut trailer ( Weird aspect ratio and B/W) all rolled into one disguised as a satirical view on soap opera to distract you from the fact that it is mediocre at it's best. No built up intrigue and absence of interesting characters leave it unwatchable. First impression is the last impression except when you know the MCU is backing this.",139,219
