adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,belongs_to_collection,budget,genres,homepage,imdb_id,origin_country,production_companies,production_countries,revenue,runtime,spoken_languages,status,tagline,is_marvel
False,/dqK9Hag1054tghRQSqLSfrkvQnA.jpg,"[28, 80, 53]",155,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",26.7425,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,False,8.526,35224,The Dark Knight Collection,185000000,"['Action', 'Crime', 'Thriller']",https://www.warnerbros.com/movies/dark-knight/,tt0468569,['US'],"['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy', 'DC']","['United Kingdom', 'United States of America']",1004558444,152,"['English', 'Mandarin']",Released,Welcome to a world without rules.,false
False,/p96949hcwUG2BwE6MgKmw0uYNCx.jpg,"[12, 28]",217,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",6.3908,/56As6XEM1flWvprX4LgkPl8ii4K.jpg,2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,False,6.018,8879,Indiana Jones Collection,185000000,"['Adventure', 'Action']",http://www.indianajones.com/site/index.html,tt0367882,['US'],"['Paramount Pictures', 'Lucasfilm Ltd.']",['United States of America'],786636033,122,"['English', 'German', 'Russian']",Released,The adventure continues...,false
False,/qdthf9WrRDSaIkGVQGhhJ9pz1hn.jpg,"[16, 10751, 35, 28]",9502,en,Kung Fu Panda,"Chosen by prophecy but doubted by all, Po is an unlikely Dragon Warrior—a clumsy panda thrust into the world of kung fu as a deadly enemy threatens the Valley of Peace. Guided by Master Shifu and the Furious Five, Po must embrace who he is to unlock the power that no scroll can teach.",13.7983,/wWt4JYXTg5Wr3xBW2phBrMKgp3x.jpg,2008-06-04,Kung Fu Panda,False,7.315,12409,Kung Fu Panda Collection,130000000,"['Animation', 'Family', 'Comedy', 'Action']",http://www.kungfupanda.com/,tt0441773,['US'],['DreamWorks Animation'],['United States of America'],632091832,90,['English'],Released,Prepare for awesomeness.,false
False,/xh0ZRdnL4pSqfW73HBf97xiNEFP.jpg,"[14, 28]",8960,en,Hancock,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",6.0013,/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,2008-07-01,Hancock,False,6.351,10096,,150000000,"['Fantasy', 'Action']",http://www.sonypictures.com/movies/hancock/,tt0448157,['US'],"['Columbia Pictures', 'Relativity Media', 'Blue Light', 'Weed Road Pictures', 'Overbrook Entertainment']",['United States of America'],629400000,92,"['English', 'French', 'Japanese', 'Vietnamese']",Released,There are heroes. There are superheroes. And then there's Hancock.,false
False,/8IGO8rF5asa7tnO0aEtx3e5R4Z5.jpg,"[35, 10749]",11631,en,Mamma Mia!,A spirited young bride-to-be living with her single mother on a small Greek island secretly invites three of her mother's ex-boyfriends in hope of finding her biological father to walk her down the aisle.,8.1383,/zdUA4FNHbXPadzVOJiU0Rgn6cHR.jpg,2008-07-03,Mamma Mia!,False,6.976,6906,Mamma Mia! Collection,52000000,"['Comedy', 'Romance']",http://www.mammamiamovie.com,tt0795421,"['US', 'GB']","['Littlestar', 'Playtone', 'Internationale Filmproduktion Richter']","['Germany', 'United Kingdom', 'United States of America']",609841637,108,"['English', 'Greek']",Released,A mother. A daughter. Three possible fathers. A trip down the aisle you'll never forget.,false
False,/r2M9ElkHxEJP7riCFbT5N0uXZTc.jpg,"[12, 16, 35, 10751]",10527,en,Madagascar: Escape 2 Africa,"Alex, Marty, and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.",8.48,/agRbLOHgN46TQO4YdKR462iR7To.jpg,2008-10-30,Madagascar: Escape 2 Africa,False,6.5,7314,Madagascar Collection,150000000,"['Adventure', 'Animation', 'Comedy', 'Family']",http://www.madagascar-themovie.com,tt0479952,['US'],"['DreamWorks Animation', 'Pacific Data Images']",['United States of America'],603900354,89,"['English', 'Inupiaq', 'Italian']",Released,"Still together, still lost.",false
False,/3CqMIX3ZlrD0pU3fpBL6DM0Cneb.jpg,"[12, 28, 53, 80]",10764,en,Quantum of Solace,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",5.7614,/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,2008-10-29,Quantum of Solace,False,6.334,8377,James Bond Collection,200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",https://mgm.com/movies/quantum-of-solace,tt0830515,['GB'],"['EON Productions', 'Metro-Goldwyn-Mayer', 'Columbia Pictures', 'B22']","['United Kingdom', 'United States of America']",589593688,106,"['English', 'Spanish', 'Italian', 'French', 'German']",Released,,false
False,/cKvDv2LpwVEqbdXWoQl4XgGN6le.jpg,"[28, 878, 12]",1726,en,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",18.753,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,2008-04-30,Iron Man,False,7.655,27777,Iron Man Collection,140000000,"['Action', 'Science Fiction', 'Adventure']",https://www.marvel.com/movies/iron-man,tt0371746,['US'],"['Marvel Studios', 'Marvel Entertainment', 'Fairview Entertainment']",['United States of America'],585174222,126,"['English', 'Persian', 'Urdu', 'Arabic']",Released,Heroes aren't born. They're built.,true
False,/fK5ssgvtI43z19FoWigdlqgpLRE.jpg,"[16, 10751, 878]",10681,en,WALL·E,"After hundreds of years doing what he was built for, WALL•E— a robot designed to clean up the earth—discovers a new purpose in life when he meets a sleek search robot named EVE. EVE comes to realize that WALL•E has inadvertently stumbled upon the key to the planet's future, and races back to space to report to the humans. Meanwhile, WALL•E chases EVE across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen.",15.1365,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,2008-06-22,WALL·E,False,8.107,19947,,180000000,"['Animation', 'Family', 'Science Fiction']",https://www.pixar.com/feature-films/walle/,tt0910970,['US'],['Pixar'],['United States of America'],521311860,98,['English'],Released,"After 700 years of doing what he was built for, he'll discover what he was meant for.",false
False,/9pBv1BOSloAUgAkF0meJWdnbV4Q.jpg,"[12, 10751, 14]",2454,en,The Chronicles of Narnia: Prince Caspian,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",5.8465,/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,2008-05-15,The Chronicles of Narnia: Prince Caspian,False,6.629,6676,The Chronicles of Narnia Collection,225000000,"['Adventure', 'Family', 'Fantasy']",,tt0499448,['US'],"['Walt Disney Pictures', 'Walden Media', 'Silverbell Films', 'Mark Johnson Productions', 'C.S. Lewis Company']",['United States of America'],419665568,150,['English'],Released,Everything you know is about to change forever.,false
