adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count,original_title,release_date,title,video
False,/cq62fLH3vwOmiaLKMqkDI86tPtH.jpg,"[10765, 9648, 18]",85271,['US'],en,WandaVision,Wanda Maximoff and Vision—two super-powered beings living idealized suburban lives—begin to suspect that everything is not as it seems.,17.7925,/glKDfE6btIRcVB5zrjspRIs4r52.jpg,2021-01-15,WandaVision,8.195,12565,,,,
False,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,"[10759, 18, 10765]",88396,['US'],en,The Falcon and the Winter Soldier,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.",10.8235,/6kbAMLteGO8yyewYau6bJ683sw7.jpg,2021-03-19,The Falcon and the Winter Soldier,7.605,8803,,,,
False,/N1hWzVPpZ8lIQvQskgdQogxdsc.jpg,"[18, 10765]",84958,['US'],en,Loki,"After stealing the Tesseract during the events of “Avengers: Endgame,” an alternate version of Loki is brought to the mysterious Time Variance Authority, a bureaucratic organization that exists outside of time and space and monitors the timeline. They give Loki a choice: face being erased from existence due to being a “time variant” or help fix the timeline and stop a greater threat.",27.5498,/oJdVHUYrjdS2IqiNztVIP4GPB1p.jpg,2021-06-09,Loki,8.171,12241,,,,
False,/jnzoh5qoxRLFRIQAxnl6D3RStPC.jpg,"[16, 10759, 10765]",91363,['US'],en,What If...?,"Taking inspiration from the comic books of the same name, each episode of this animated anthology series questions, revisits and twists classic Marvel Cinematic moments.",29.6864,/lztz5XBMG1x6Y5ubz7CxfPFsAcW.jpg,2021-08-11,What If...?,8.066,4554,,,,
False,/e3tA49HkybsO90hpL1AZTHR5ZU.jpg,"[18, 35, 10759]",88329,['US'],en,Hawkeye,"Former Avenger Clint Barton has a seemingly simple mission: get back to his family for Christmas. Possible? Maybe with the help of Kate Bishop, a 22-year-old archer with dreams of becoming a superhero. The two are forced to work together when a presence from Barton’s past threatens to derail far more than the festive spirit.",19.0629,/ct5pNE5dDHryHLDnxyZPYcqO1sz.jpg,2021-11-24,Hawkeye,7.803,3647,,,,
False,/1uegR4uAxRxiMyX4nQnpzbXhrTw.jpg,"[10765, 9648, 10759]",92749,['US'],en,Moon Knight,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",17.693,/vKDUmKO6F9bSKKyHhg7YGbgcEeF.jpg,2022-03-30,Moon Knight,7.651,3381,,,,
False,/mfcLUWASJghU8MTNK38eYktfE83.jpg,"[10765, 10759, 35]",92782,['US'],en,Ms. Marvel,"A great student, avid gamer, and voracious fan-fic scribe, Kamala Khan has a special affinity for superheroes, particularly Captain Marvel. However, she struggles to fit in at home and at school — that is, until she gets superpowers like the heroes she’s always looked up to. Life is easier with superpowers, right?",9.185,/3HWWh92kZbD7odwJX7nKmXNZsYo.jpg,2022-06-08,Ms. Marvel,6.292,1407,,,,
False,/bAnHzJ6AMhOhnV3C0kTxkpCqpgM.jpg,"[16, 35, 10751, 10765, 10762]",232125,['US'],en,I Am Groot,"There's no guarding the galaxy from this mischievous toddler! Get ready as Baby Groot takes center stage in his very own collection of shorts, exploring his glory days growing up and getting into trouble among the stars.",7.9911,/lYwFSsP4KsoRhOLhJvBFp3GEGEm.jpg,2022-08-10,I Am Groot,7.067,456,,,,
False,/eljErfkQUcFUgQkI4I1soZcH8MW.jpg,"[35, 10765]",92783,['US'],en,She-Hulk: Attorney at Law,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk.",11.4413,/hJfI6AGrmr4uSHRccfJuSsapvOb.jpg,2022-08-18,She-Hulk: Attorney at Law,6.111,2450,,,,
False,/pfAZP7JvTTxqgq7n6A1OYgkAdEW.jpg,"[28, 14, 27]",894205,,en,,"On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader’s life, the attendees are thrust into a mysterious and deadly competition for a powerful relic—a hunt that will ultimately bring them face to face with a dangerous monster.",4.4609,/mvIvNKRIJPPS7WSFarFhOAGIVnU.jpg,,,6.972,1477,Werewolf by Night,2022-09-25,Werewolf by Night,False
False,/rfnmMYuZ6EKOBvQLp2wqP21v7sI.jpg,"[35, 878, 12]",774752,,en,,"On a mission to make Christmas unforgettable for Quill, the Guardians head to Earth in search of the perfect present.",4.0674,/8dqXyslZ2hv49Oiob9UjlGSHSTR.jpg,,,7.098,2300,The Guardians of the Galaxy Holiday Special,2022-11-24,The Guardians of the Galaxy Holiday Special,False
False,/6mOK9j99OFlxGc3ird2jWUeUha9.jpg,"[18, 10765, 10759]",114472,['US'],en,Secret Invasion,Nick Fury and Talos discover a faction of shapeshifting Skrulls who have been infiltrating Earth for years.,11.8632,/f5ZMzzCvt2IzVDxr54gHPv9jlC9.jpg,2023-06-21,Secret Invasion,6.519,1340,,,,
False,/u3ySnWqSjM3jedYgJZTR7RWRDDm.jpg,"[18, 80, 10759]",122226,['US'],en,Echo,"Pursued by Wilson Fisk's criminal empire, Maya's journey brings her home and she must confront her own family and legacy.",9.3849,/vFyJH630cF68LohVYjQW49074Sy.jpg,2024-01-09,Echo,6.1,593,,,,
False,/iDnTAeR2WNA62XQG0ivtteDSjd5.jpg,"[16, 10759, 10765]",138502,['US'],en,X-Men '97,"The X-Men, a band of mutants who use their uncanny gifts to protect a world that hates and fears them, are challenged like never before, forced to face a dangerous and unexpected new future.",13.5478,/9Ycz7yYRf9V4jk3YXwcZhFtbNcF.jpg,2024-03-20,X-Men '97,8.5,630,,,,
False,/ymTx7ebsmBjqh47fiZnBUjIDx5K.jpg,"[10765, 9648]",138501,['US'],en,Agatha All Along,"Agatha Harkness gathers a coven of witches and sets off down, down, down The Witches' Road.",10.3047,/mGsxKwXUjojitRv2E9qMTbxbBRd.jpg,2024-09-18,Agatha All Along,7.463,914,,,,
False,/kkT2B2gmynoh9kZMo1gromLNeqy.jpg,"[16, 10759, 10765, 35]",138503,['US'],en,Your Friendly Neighborhood Spider-Man,"Peter Parker is on his way to becoming a hero, but his path to get there is anything but ordinary.",12.3198,/kjcsNeqF52YUQ2rUBGLMHwLkxvR.jpg,2025-01-29,Your Friendly Neighborhood Spider-Man,7.749,245,,,,
False,/qHCpG49qxs4owLgmhh0T62ErUZv.jpg,"[18, 80]",202555,['US'],en,Daredevil: Born Again,"Matt Murdock, a blind lawyer with heightened abilities, is fighting for justice through his bustling law firm, while former mob boss Wilson Fisk pursues his own political endeavors in New York. When their past identities begin to emerge, both men find themselves on an inevitable collision course.",24.1608,/9lLuhV703HGCbnz6FxnqCwIwzAZ.jpg,2025-03-04,Daredevil: Born Again,7.954,656,,,,
False,/kiOEVg5BkzLE0pWoPKecXd7wZ2Q.jpg,"[10765, 80, 10759]",114471,['US'],en,Ironheart,"After the events of Black Panther: Wakanda Forever, technology is pitted against magic when Riri Williams, a young, genius inventor determined to make her mark on the world, returns to her hometown of Chicago. Her unique take on building iron suits is brilliant, but in pursuit of her ambitions, she finds herself wrapped up with the mysterious yet charming Parker Robbins aka ""The Hood.""",15.0204,/dOh6MJpdlQhYpLBhzhNQeYGKTZ5.jpg,2025-06-24,Ironheart,5.367,417,,,,
False,/cWO5NDkKqpOuwxu4vFc4PtL8aNF.jpg,"[16, 10759, 10765]",241388,['US'],en,Eyes of Wakanda,"Follow the adventures of brave Wakandan warriors throughout history in this globe-trotting adventure, where they must carry out dangerous missions to retrieve Vibranium artifacts from the enemies of Wakanda. They are the Hatut Zaraze and this is their story.",8.5474,/bG23nZW96LxmWkJjsagRZI9hF6t.jpg,2025-08-01,Eyes of Wakanda,6.143,154,,,,
False,/lxQMxqao3vs2ehxESrkQU6acU86.jpg,"[10765, 16, 10759]",138505,['US'],en,Marvel Zombies,"After the Avengers are overtaken by a zombie plague, a desperate group of survivors discover the key to bringing an end to the super-powered undead, racing across a dystopian landscape and risking life and limb to save their world.",8.807,/mwKj9ERGFXsWot0nXgQ5yMQf9I7.jpg,2025-09-24,Marvel Zombies,7.223,303,,,,
